index count
100 -13.82657714
199 -13.14483303
200 -13.14359244
201 -13.13834696
202 -13.12518739
203 -13.12160709
204 -13.11983418
205 -13.11194732
206 -13.10964686
207 -13.10942605
208 -13.10031611
209 -13.09796002
210 -13.0924298
211 -13.08977613
212 -13.08454935
213 -13.08303818
214 -13.07356801
215 -13.06398186
216 -13.05063964
217 -13.04226333
218 -13.03651133
219 -13.03254151
220 -13.01872138
221 -13.01431481
222 -13.01253065
223 -13.01176696
224 -13.00506522
225 -13.00394239
226 -13.00206518
227 -12.99775208
424 -12.01635178
425 -12.01591648
426 -12.0151724
427 -12.01458521
428 -12.00901099
429 -12.00877348
430 -12.00750585
431 -12.00556471
432 -12.00019788
433 -11.99729417
434 -11.99706003
435 -11.99570344
725 -11.00516182
726 -11.00411448
727 -10.99926249
728 -10.99857698
729 -10.99824241
730 -10.996953296
1121 -10.04975006
1122 -10.04468325
1123 -10.04150885
1124 -10.03841172
1125 -10.03814956
1126 -10.03583074
1127 -10.03258413
1128 -10.02945919
1129 -10.02809172
1130 -10.0271643
1131 -10.02685497
1132 -10.02574943
1133 -10.02468697
1134 -10.01819921
1135 -10.0177087
1136 -10.01614637
1137 -10.01583361
1138 -10.01391023
1139 -10.01328322
1140 -10.00635998
1141 -10.00152129
1142 -10.00047814
1143 -10.00034199
1144 -9.990490596
1145 -9.987736785
1146 -9.985205779
1147 -9.9840532
1148 -9.982344943
1492 -9.073030421
1493 -9.070848393
1494 -9.065083359
1495 -9.061492275
1496 -9.061144066
1497 -9.059052258
1498 -9.059052258
1499 -9.057888249
1500 -9.056373009
1501 -9.056139691
1502 -9.055556158
1503 -9.053101596
1504 -9.052399184
1505 -9.050992879
1506 -9.049702026
1507 -9.045937316
1508 -9.037176753
1509 -9.03705784
1510 -9.033006357
1511 -9.03085479
1512 -9.029058275
1513 -9.028818495
1514 -9.026778046
1515 -9.022563964
1516 -9.021598247
1517 -9.019664011
1518 -9.017968479
1519 -9.015541294
1520 -9.015298251
1521 -9.011767475
1522 -9.010547069
1523 -9.006263883
1524 -8.999125392
1525 -8.998878325
1526 -8.997147152
1527 -8.995412975
2018 -8.011023379
2019 -8.006367568
2020 -8.006034179
2021 -8.004699511
2022 -8.003028666
2023 -8.002694162
2024 -8.002359546
2564 -6.972606251
2565 -6.970730078
2566 -6.970730078
2567 -6.970730078
2568 -6.96979067
2569 -6.967909202
2570 -6.966967139
3257 -5.963579344
3258 -5.963579344
3259 -5.963579344
3260 -5.963579344
3261 -5.96100534
3262 -5.96100534
3263 -5.958424693
3264 -5.958424693
3265 -5.958424693
4050 -4.86753445
4051 -4.86753445
4052 -4.86753445
4053 -4.859812404
4054 -4.859812404
4055 -4.859812404
4056 -4.859812404
4057 -4.859812404
4058 -4.852030264
5480 -2.944438979
5481 -2.944438979
5482 -2.944438979
5483 -2.944438979
5484 -2.944438979
5485 -2.944438979
5486 -2.944438979
5487 -2.944438979
5488 -2.944438979
5489 -2.944438979
5490 -2.944438979
5491 -2.944438979
